# Mots français haute-fréquence.
# Format : chord<TAB>output (espace finale ajoutée ; suffixe ^ pour désactiver)
# Politique : chords 3-4 touches ; outputs ≥5 caractères.

als	alors
ajd	aujourd'hui
avo	avoir
bec	beaucoup
enc	encore
fre	faire
jas	jamais
mait	maintenant
qua	quand
touj	toujours
